"","family","location","mean.loc.abund"
"159","f:Un_Chloracidobacterium","Philippines",1.75169648482194e-05
"160","f:Un_Chloracidobacterium","Tanzania",2.98416591102546e-05
"161","f:Holophagaceae","Cancun",1.49101080084266e-05
"162","f:Holophagaceae","Lapaz",1.4924285908016e-05
"163","f:Holophagaceae","Ningaloo",3.34568700055222e-05
"164","f:Holophagaceae","Philippines",1.25309971110915e-05
"165","f:Holophagaceae","Tanzania",1.79383992379304e-05
"166","f:Acidimicrobiaceae","Cancun",1.15056992148863e-05
"167","f:Acidimicrobiaceae","Lapaz",9.70475022212458e-05
"168","f:Acidimicrobiaceae","Ningaloo",0.000472865303043504
"169","f:Acidimicrobiaceae","Philippines",3.05985572999111e-05
"170","f:Acidimicrobiaceae","Tanzania",2.6967536109604e-05
"171","f:Ilumatobacteraceae","Cancun",8.689847809045e-05
"172","f:Ilumatobacteraceae","Lapaz",0.000884739222598409
"173","f:Ilumatobacteraceae","Ningaloo",0.00252507981674532
"174","f:Ilumatobacteraceae","Philippines",0.000206968923315692
"175","f:Ilumatobacteraceae","Tanzania",0.000167254897017768
"176","F:Un_Actinobacterium","Cancun",0.000387057734725113
"177","F:Un_Actinobacterium","Lapaz",0.000537068237203475
"178","F:Un_Actinobacterium","Ningaloo",0.000738445917537712
"179","F:Un_Actinobacterium","Philippines",0.000504585575489712
"180","F:Un_Actinobacterium","Tanzania",0.000175400386402136
"181","f:Acidothermaceae","Cancun",3.90527805359793e-05
"182","f:Acidothermaceae","Lapaz",6.46669618291104e-05
"183","f:Acidothermaceae","Ningaloo",0.000122157259673237
"184","f:Acidothermaceae","Philippines",3.92597760366702e-05
"185","f:Acidothermaceae","Tanzania",3.68359702561953e-05
"186","f:Actinomycetaceae","Cancun",0.000115211920569166
"187","f:Actinomycetaceae","Lapaz",0.000174144390457387
"188","f:Actinomycetaceae","Ningaloo",0.000360437417726539
"189","f:Actinomycetaceae","Philippines",8.9125910942014e-05
"190","f:Actinomycetaceae","Tanzania",0.000128069427244195
"191","f:Actinopolysporaceae","Cancun",4.56665187425951e-05
"192","f:Actinopolysporaceae","Lapaz",4.20711020734084e-05
"193","f:Actinopolysporaceae","Ningaloo",8.02756438136362e-05
"194","f:Actinopolysporaceae","Philippines",4.29642946504569e-05
"195","f:Actinopolysporaceae","Tanzania",4.48739946806112e-05
"196","f:Bifidobacteriaceae","Cancun",0.000133944949553405
"197","f:Bifidobacteriaceae","Lapaz",0.000172144747366025
"198","f:Bifidobacteriaceae","Ningaloo",0.000259928371108626
